Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Spring Tour 2024 Padova,2024-04-21,Heroes Flying Disc,Nuclear Discs,15,9,515.481,1.000,0,512.310
Spring Tour 2024 Padova,2024-04-21,Heroes Flying Disc,The Owls,15,6,600.000,1.000,0,442.120
Spring Tour 2024 Padova,2024-04-21,Heroes Flying Disc,W.underteam,15,5,600.000,1.000,0,559.980
Spring Tour 2024 Padova,2024-04-21,Mosquitos,BN1,15,8,564.809,1.000,0,418.940
Spring Tour 2024 Padova,2024-04-21,Mosquitos,Deep Space,12,11,125.000,1.000,0,21.220
Spring Tour 2024 Padova,2024-04-21,Mosquitos,Frubb,13,11,228.840,1.000,0,427.720
Spring Tour 2024 Padova,2024-04-21,OUT,Colorado,12,11,125.000,1.000,0,72.320
Spring Tour 2024 Padova,2024-04-21,PUC,W.underteam,15,3,600.000,1.000,1,674.930
Spring Tour 2024 Padova,2024-04-21,The Owls,AKS Zły Ultimate,11,9,249.207,1.000,0,203.560
Spring Tour 2024 Padova,2024-04-21,The Owls,Zombees,15,4,600.000,1.000,0,522.490
Spring Tour 2024 Padova,2024-04-21,Tiefseetaucher,Cus Padova Rangərs,13,5,600.000,1.000,0,441.240
Spring Tour 2024 Padova,2024-04-21,Tiefseetaucher,PUC,15,6,600.000,1.000,0,585.190
Spring Tour 2024 Padova,2024-04-21,W.underteam,Nuclear Discs,10,9,125.000,1.000,0,-47.670
Elite Invite 2024 Leuven,2024-05-10,Deep Space,Disconnection,15,10,453.604,1.000,0,387.450
Elite Invite 2024 Leuven,2024-05-10,Deep Space,Tartu Turbulence,15,13,214.179,1.000,0,382.940
Elite Invite 2024 Leuven,2024-05-10,Leamington Lemmings,Manchots,13,11,228.840,1.000,0,383.320
Elite Invite 2024 Leuven,2024-05-10,Manchots,Reading Ultimate,15,13,214.179,1.000,0,-151.700
Elite Invite 2024 Leuven,2024-05-10,Nullacht! Ultimate,Leamington Lemmings,15,13,214.179,1.000,0,-282.340
Elite Invite 2024 Leuven,2024-05-10,Reading Ultimate,Nullacht! Ultimate,15,12,300.492,1.000,0,50.720
Elite Invite 2024 Leuven,2024-05-10,Sesquidistus,Disconnection,15,11,381.165,1.000,0,383.850
Elite Invite 2024 Leuven,2024-05-10,Sesquidistus,Tartu Turbulence,15,11,381.165,1.000,0,379.340
Elite Invite 2024 Leuven,2024-05-11,Deep Space,Reading Ultimate,12,11,125.000,1.000,0,225.060
Elite Invite 2024 Leuven,2024-05-11,Deep Space,Sesquidistus,15,10,453.604,1.000,0,3.600
Elite Invite 2024 Leuven,2024-05-11,Disconnection,Tartu Turbulence,15,8,564.809,1.000,0,-4.510
Elite Invite 2024 Leuven,2024-05-11,Leamington Lemmings,Disconnection,15,11,381.165,1.000,0,394.010
Elite Invite 2024 Leuven,2024-05-11,Leamington Lemmings,Reading Ultimate,14,9,473.868,1.000,0,231.620
Elite Invite 2024 Leuven,2024-05-11,Nullacht! Ultimate,Manchots,15,10,453.604,1.000,0,100.980
Elite Invite 2024 Leuven,2024-05-11,Nullacht! Ultimate,Tartu Turbulence,14,13,125.000,1.000,0,107.160
Elite Invite 2024 Leuven,2024-05-11,Sesquidistus,Manchots,15,12,300.492,1.000,0,373.160
Elite Invite 2024 Leuven,2024-05-12,Deep Space,Nullacht! Ultimate,15,8,564.809,1.000,0,275.780
Elite Invite 2024 Leuven,2024-05-12,Leamington Lemmings,Deep Space,14,11,313.338,1.000,0,6.560
Elite Invite 2024 Leuven,2024-05-12,Leamington Lemmings,Sesquidistus,12,11,125.000,1.000,0,10.160
Elite Invite 2024 Leuven,2024-05-12,Manchots,Disconnection,12,10,238.123,1.000,0,10.690
Elite Invite 2024 Leuven,2024-05-12,Reading Ultimate,Disconnection,15,10,453.604,1.000,0,162.390
Elite Invite 2024 Leuven,2024-05-12,Reading Ultimate,Tartu Turbulence,15,14,125.000,1.000,0,157.880
Elite Invite 2024 Leuven,2024-05-12,Sesquidistus,Nullacht! Ultimate,15,5,600.000,1.000,0,272.180
Elite Invite 2024 Leuven,2024-05-12,Tartu Turbulence,Manchots,15,11,381.165,1.000,0,-6.180
