Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU,Game_Rank_Diff_Windmill,Game_Wght_Windmill,Is_Ignored_Windmill,Team_Rank_Diff_Windmill,Game_Rank_Diff_Sigmoid,Game_Wght_Sigmoid,Is_Ignored_Sigmoid,Team_Rank_Diff_Sigmoid
Spring Invite UK,2023-04-23,Brixton @ Spring Invite UK,Brighton @ Spring Invite UK,12,5,600.0,0.9459053029269173,0,-54.40999999999997,7,1,0,0.47000000000000064,7,1,0,-0.8361323750127276
Spring Invite UK,2023-04-23,Brixton @ Spring Invite UK,Chameleons,12,3,600.0,0.9459053029269173,0,403.6500000000001,9,1,0,5.879999999999999,9,1,0,8.736129232190418
Spring Invite UK,2023-04-23,Brixton @ Spring Invite UK,Oxford Ultimate @ Spring Invite UK,9,7,279.3368557106305,0.9176629354822471,0,244.12,2,1,0,4.73,2,1,0,5.271130312064784
Spring Invite UK,2023-04-23,GB U20 Women Blue @ Spring Invite UK,Brixton @ Spring Invite UK,9,6,418.5661446562001,0.8885233166386386,0,84.92999999999995,3,1,0,0.22000000000000064,3,1,0,0.10799813379869683
Spring Invite UK,2023-04-23,GB U20 Women Blue @ Spring Invite UK,Chameleons,13,0,600.0,1.0,0,488.58000000000004,13,1,0,6.1,13,1,0,8.807196417238053
Spring Invite UK,2023-04-23,GB U20 Women Blue @ Spring Invite UK,GB U20 Women Red @ Spring Invite UK,5,4,125.0,0.6882472016116853,0,-13.759999999999991,1,1,0,0.009999999999999787,1,1,0,0.6071680671544382
Spring Invite UK,2023-04-23,GB U20 Women Blue @ Spring Invite UK,Oxford Ultimate @ Spring Invite UK,8,6,300.4922431832018,0.8583950752789521,0,329.04999999999995,2,1,0,4.950000000000001,2,1,0,5.365553066328946
Spring Invite UK,2023-04-23,GB U20 Women Red @ Spring Invite UK,Brixton @ Spring Invite UK,9,6,418.5661446562001,0.8885233166386386,0,98.68999999999994,3,1,0,0.21000000000000085,3,1,0,-0.4993154516720857
Spring Invite UK,2023-04-23,GB U20 Women Red @ Spring Invite UK,Chameleons,10,4,600.0,0.8583950752789521,0,502.34000000000003,6,1,0,6.09,6,1,0,8.399658303740452
Spring Invite UK,2023-04-23,GB U20 Women Red @ Spring Invite UK,Chameleons,15,7,600.0,1.0,0,502.34000000000003,8,1,0,6.09,8,1,0,8.399658303740452
