Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU
Elite Invite 2024 Leuven,2024-05-12,Leamington Lemmings,Sesquidistus,12,11,125.000,1.000,0,-46.820
Elite Invite 2024 Leuven,2024-05-12,Manchots,Disconnection,12,10,238.123,1.000,0,-61.660
Elite Invite 2024 Leuven,2024-05-12,Reading Ultimate,Disconnection,15,10,453.604,1.000,0,194.500
Elite Invite 2024 Leuven,2024-05-12,Reading Ultimate,Tartu Turbulence,15,14,125.000,1.000,0,247.470
Elite Invite 2024 Leuven,2024-05-12,Sesquidistus,Nullacht! Ultimate,15,5,600.000,1.000,0,323.830
Elite Invite 2024 Leuven,2024-05-12,Tartu Turbulence,Manchots,15,11,381.165,1.000,0,8.690
Türkiye Mixed Nationals,2024-05-19,Steamhuck,Fireball Ultimate,7,6,125.000,0.827,0,124.990
Türkiye Mixed Nationals,2024-05-19,Zoom Ultimate,Steamhuck,12,8,441.155,1.000,0,441.130
UKU Regionals,2024-06-08,Heck,Glasgow Ultimate,11,10,125.000,1.000,0,-246.750
Windmill Tournament,2024-06-14,Remix,Zoom Ultimate,12,11,125.000,1.000,0,-140.780
Windmill Tournament,2024-06-14,Zoom Ultimate,Cus Padova Rangərs,9,8,125.000,0.946,0,-155.930
UKU Nationals Div 1 & 2,2024-07-07,Deep Space,BN1,14,8,536.035,1.000,0,561.330
UKU Nationals Div 1 & 2,2024-07-07,Deep Space,Heck,14,8,536.035,1.000,0,385.700
UKU Nationals Div 1 & 2,2024-07-07,Deep Space,Leamington Lemmings,15,7,600.000,1.000,0,76.790
UKU Nationals Div 1 & 2,2024-07-07,Deep Space,Reading Ultimate,12,11,125.000,1.000,0,126.210
UKU Nationals Div 1 & 2,2024-07-07,Heck,BN1,15,9,515.481,1.000,0,175.630
UKU Nationals Div 1 & 2,2024-07-07,Leamington Lemmings,Heck,15,8,564.809,1.000,0,308.910
UKU Nationals Div 1 & 2,2024-07-07,Reading Ultimate,Heck,15,8,564.809,1.000,0,259.490
UKU Nationals Div 1 & 2,2024-07-07,Reading Ultimate,Leamington Lemmings,13,10,328.142,1.000,0,-49.420
"DFV-Mixed-DM 2. Spielwochenende, 1. Liga",2024-07-13,Tiefseetaucher,Disconnection,15,13,214.179,1.000,0,537.730
"DFV-Mixed-DM 2. Spielwochenende, 1. Liga",2024-07-14,Tiefseetaucher,Disconnection,15,10,453.604,1.000,0,537.730
