Tournament,Date,Team_1,Team_2,Score_1,Score_2,Game_Rank_Diff_USAU,Game_Wght_USAU,Is_Ignored_USAU,Team_Rank_Diff_USAU,Game_Rank_Diff_Windmill,Game_Wght_Windmill,Is_Ignored_Windmill,Team_Rank_Diff_Windmill,Game_Rank_Diff_Sigmoid,Game_Wght_Sigmoid,Is_Ignored_Sigmoid,Team_Rank_Diff_Sigmoid
Spring Invite Leuven,2023-04-21,UFO,Freezzz Beezzz,15,13,214.17926913507503,1.0,0,-153.56,2,1,0,-1.8599999999999999,2,1,0,-2.059166616102125
Spring Invite Leuven,2023-04-21,UFO,Uprising,14,7,582.8868714046324,1.0,0,155.89999999999998,7,1,0,1.85,7,1,0,2.1363762026457778
Spring Invite Leuven,2023-04-21,Uprising,Hard2Fisch,15,4,600.0,1.0,0,368.52,11,1,0,5.57,11,1,0,6.367272960155944
Spring Invite Leuven,2023-04-21,Uprising,Révolution'air,11,10,125.0,1.0,0,319.31000000000006,1,1,0,4.07,1,1,0,4.1143919351414056
Spring Invite Leuven,2023-04-21,XVI,Frizzly Bears,13,12,125.0,1.0,0,-95.28999999999999,1,1,0,-0.86,1,1,0,-1.4987325753794245
Spring Invite Leuven,2023-04-21,XVI,Hard2Fisch,15,5,600.0,1.0,0,417.5,10,1,0,6.359999999999999,10,1,0,6.832281139005321
Spring Invite Padova,2023-04-21,3SB - Open,Alligators,12,10,238.1225775586291,1.0,0,229.78,2,1,0,2.8700000000000006,2,1,0,2.9570257144229686
Spring Invite Padova,2023-04-21,3SB - Open,Cus Padova Barbastreji,15,8,564.8086448756737,1.0,0,449.54,7,1,0,5.3100000000000005,7,1,0,5.46664639202028
Spring Invite Padova,2023-04-21,3SB - Open,FWD>>,15,6,600.0,1.0,0,566.04,9,1,0,6.87,9,1,0,6.988255838964445
Spring Invite Padova,2023-04-21,3SB - Open,Flying Angels Bern,15,9,515.4814780292847,1.0,0,318.82,6,1,0,4.07,6,1,0,4.367630038646826
Spring Invite Padova,2023-04-21,3SB - Open,Panthers Bern,15,8,564.8086448756737,1.0,0,387.15,7,1,0,4.590000000000001,7,1,0,4.742064419233625
Spring Invite Padova,2023-04-21,3SB - Open,Red Bulls,15,12,300.4922431832018,1.0,0,436.52,3,1,0,4.61,3,1,0,4.946280370901572
Spring Invite Padova,2023-04-21,Alligators,Canieporci,15,9,515.4814780292847,1.0,0,651.14,6,1,0,8.58,6,1,0,8.540143024059653
Spring Invite Padova,2023-04-21,Alligators,Cotarica Grandes,11,8,365.60925011032475,1.0,0,38.81,3,1,0,-0.040000000000000036,3,1,0,0.11999744006553392
Spring Invite Padova,2023-04-21,Alligators,Outsiterz,15,13,214.17926913507503,1.0,0,226.93,2,1,0,2.19,2,1,0,2.2464744810002735
Spring Invite Padova,2023-04-21,Alligators,Panthers Wroclaw - Open,15,8,564.8086448756737,1.0,0,73.09,7,1,0,0.8300000000000001,7,1,0,1.1996821710975922
Spring Invite Padova,2023-04-21,Canieporci,SLOVENIA,15,9,515.4814780292847,1.0,0,152.33000000000004,6,1,0,0.9300000000000006,6,1,0,1.5336224144066435
Spring Invite Padova,2023-04-21,Cotarica Grandes,Panthers Bern,15,11,381.1647521399218,1.0,0,118.56,4,1,0,1.76,4,1,0,1.7854947730581578
Spring Invite Padova,2023-04-21,Cotarica Grandes,Red Bulls,15,11,381.1647521399218,1.0,0,167.93,4,1,0,1.7799999999999998,4,1,0,2.009841087433742
Spring Invite Padova,2023-04-21,Cotarica Grandes,SLOVENIA,15,7,600.0,1.0,0,764.6600000000001,8,1,0,9.55,8,1,0,9.447591923861676
Spring Invite Padova,2023-04-21,Cotarica Grandes,thebigEZ,15,9,515.4814780292847,1.0,0,356.73,6,1,0,4.38,6,1,0,4.660228723303298
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,Cotarica Grandes,14,11,313.3379659704299,1.0,0,-180.95,3,1,0,-2.48,3,1,0,-2.587613568799995
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,Freespeed,13,12,125.0,1.0,0,66.73,1,1,0,0.81,1,1,0,0.8981742442317291
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,Hardfisch,15,10,453.6039151898044,1.0,0,187.12,5,1,0,2.29,5,1,0,2.6210735532235994
Spring Invite Padova,2023-04-21,Cus Padova Barbastreji,M.U.C.,13,12,125.0,1.0,0,-376.45,1,1,0,-4.87,1,1,0,-4.963652554291482
Spring Invite Padova,2023-04-21,FWD>>,Canieporci,15,7,600.0,1.0,0,314.88,8,1,0,4.58,8,1,0,4.932238112341281
Spring Invite Padova,2023-04-21,FWD>>,Hardfisch,14,13,125.0,1.0,0,70.61999999999998,1,1,0,0.7300000000000002,1,1,0,0.8054744606734303
Spring Invite Padova,2023-04-21,Flying Angels Bern,Canieporci,15,7,600.0,1.0,0,562.1,8,1,0,7.38,8,1,0,7.467822511963366
