"team_id","team_name","division_id","division_name","country_id","country_ioc","country_name"
NULL,"Triglav",NULL,"Open","1166","SLO","Slovenia"
NULL,"DEAC FreeBees",NULL,"Open","1084","HUN","Hungary"
NULL,"Azvarlirea",NULL,"Open","1156","ROU","Romania"
NULL,"Bremen Ultimate",NULL,"Mixed","1073","GER","Germany"
NULL,"DTU",NULL,"Mixed","1052","DEN","Denmark"
NULL,"Gentle Mixed",NULL,"Mixed","1018","BEL","Belgium"
NULL,"GRUT",NULL,"Mixed","1135","NED","Netherlands"
NULL,"Malmö Ultimate Club",NULL,"Mixed","1177","SWE","Sweden"
NULL,"Nullacht! Ultimate",NULL,"Mixed","1073","GER","Germany"
NULL,"Owls UC",NULL,"Mixed","1018","BEL","Belgium"
NULL,"Tartu Turbulence",NULL,"Mixed","1061","EST","Estonia"
NULL,"Alligators",NULL,"Open","1093","ITA","Italy"
NULL,"BFD LaFotta",NULL,"Open","1093","ITA","Italy"
NULL,"Cotarica Grandes",NULL,"Open","1093","ITA","Italy"
NULL,"Cus Padova Barbastreji",NULL,"Open","1093","ITA","Italy"
NULL,"Flying Angels Bern",NULL,"Open","1174","SUI","Switzerland"
NULL,"Freespeed",NULL,"Open","1174","SUI","Switzerland"
NULL,"Iznogood",NULL,"Open","1065","FRA","France"
NULL,"Panthers Bern",NULL,"Open","1174","SUI","Switzerland"
NULL,"Red Bulls",NULL,"Open","1093","ITA","Italy"
NULL,"Solebang",NULL,"Open","1174","SUI","Switzerland"
NULL,"Tchac",NULL,"Open","1065","FRA","France"
NULL,"FWD>>",NULL,"Open","1012","AUT","Austria"
NULL,"Helsinki Ultimate",NULL,"Open","1064","FIN","Finland"
NULL,"NXT",NULL,"Open","1194","UKR","Ukraine"
NULL,"Otso",NULL,"Open","1064","FIN","Finland"
NULL,"Outsiterz",NULL,"Open","1176","SVK","Slovakia"
NULL,"Panthers Wrocław",NULL,"Open","1151","POL","Poland"
NULL,"PirU",NULL,"Open","1064","FIN","Finland"
NULL,"Prague Devils",NULL,"Open","1051","CZE","Czech Republic"
NULL,"SLOVENIA",NULL,"Open","1166","SLO","Slovenia"
NULL,"Terrible Monkeys",NULL,"Open","1051","CZE","Czech Republic"
NULL,"thebigEZ",NULL,"Open","1012","AUT","Austria"
NULL,"Uprising",NULL,"Open","1151","POL","Poland"
NULL,"AUT BeeFire",NULL,"Mixed","1093","ITA","Italy"
NULL,"CUS Bergamo Ultimate",NULL,"Mixed","1093","ITA","Italy"
NULL,"DiscoBolo",NULL,"Mixed","1093","ITA","Italy"
NULL,"FlyHigh",NULL,"Mixed","1174","SUI","Switzerland"
NULL,"FucZH",NULL,"Mixed","1174","SUI","Switzerland"
NULL,"Manchots",NULL,"Mixed","1065","FRA","France"
NULL,"Monkey Grenoble",NULL,"Mixed","1065","FRA","France"
NULL,"Sesquidistus",NULL,"Mixed","1065","FRA","France"
NULL,"Aarhus Ultimate",NULL,"Open","1052","DEN","Denmark"
NULL,"Amsterdam Ultimate Club",NULL,"Open","1135","NED","Netherlands"
NULL,"Armada",NULL,"Open","1018","BEL","Belgium"
NULL,"Bad Skid",NULL,"Open","1073","GER","Germany"
NULL,"Freezzz Beezzz",NULL,"Open","1018","BEL","Belgium"
NULL,"Frizzly Bears Aachen",NULL,"Open","1073","GER","Germany"
NULL,"Gentle Open",NULL,"Open","1018","BEL","Belgium"
NULL,"Heidees Open",NULL,"Open","1073","GER","Germany"
NULL,"Københavns Frisbee Klub (KFK)",NULL,"Open","1052","DEN","Denmark"
NULL,"M.U.C.",NULL,"Open","1073","GER","Germany"
NULL,"Wall City",NULL,"Open","1073","GER","Germany"
NULL,"AKS ZŁY ULTIMATE",NULL,"Mixed","1151","POL","Poland"
NULL,"Catchup Mixed",NULL,"Mixed","1012","AUT","Austria"
